attribute,7syl,6syl,5syl,4syl,3syl,2syl
syl_suffix,2,5,22,65,94,54
signi_suffix,9,13,20,29,37,23
suffix1,12,18,21,21,22,23
suffix2,2,9,22,47,71,71
suffix3,2,8,21,80,116,94
suffix4,2,8,17,60,115,42
suffix5,3,8,23,71,144,28
suffix_phoncat1,5,5,6,6,6,6
suffix_phoncat2,3,6,7,9,11,11
suffix_phoncat3,2,7,12,19,25,21
suffix_phoncat4,2,9,17,24,32,30
suffix_phoncat5,2,6,22,36,45,31
suff_class,3,3,3,3,3,3
syl_praefix,1,4,37,94,102,45
signi_praefix,5,14,20,22,24,23
praefix1,36,45,49,50,50,50
praefix2,1,2,25,86,130,107
praefix3,1,1,11,42,86,30
praefix4,1,1,7,37,106,26
praefix5,1,1,6,18,35,10
praefix_phoncat1,5,5,5,6,6,6
praefix_phoncat2,4,7,9,12,12,12
praefix_phoncat3,4,8,17,28,29,24
praefix_phoncat4,2,13,21,40,52,42
praefix_phoncat5,1,11,27,52,76,52
prae_class,3,3,3,3,3,3
sonority0,1,1,1,1,1,1
sonority1,1,1,1,1,1,1
sonority2,1,1,1,1,1,
sonority3,1,1,1,1,,
sonority4,1,1,1,,,
sonority5,1,1,,,,
sonority6,1,,,,,
sonority_ratio0,1,1,1,1,1,1
sonority_ratio1,1,1,1,1,1,1
sonority_ratio2,1,1,1,1,1,
sonority_ratio3,1,1,1,1,,
sonority_ratio4,1,1,1,,,
sonority_ratio5,1,1,,,,
sonority_ratio6,1,,,,,
sonority_dir,1,1,,,,
syl_weight0,3,3,3,3,3,3
syl_weight1,3,3,3,3,3,4
syl_weight2,3,3,3,3,3,
syl_weight3,3,3,3,4,,
syl_weight4,3,3,4,,,
syl_weight5,3,3,,,,
syl_weight6,3,,,,,
syl_open0,2,2,2,2,2,2
syl_open1,2,2,2,2,2,3
syl_open2,2,2,2,2,2,
syl_open3,2,2,2,3,,
syl_open4,2,2,3,,,
syl_open5,2,2,,,,
syl_open6,2,,,,,
syl_phoncat0,5,8,18,30,40,37
syl_phoncat1,4,9,17,26,36,33
syl_phoncat2,4,10,18,30,32,
syl_phoncat3,5,11,16,22,,
syl_phoncat4,3,7,14,,,
syl_phoncat5,5,8,,,,
syl_phoncat6,5,,,,,
onset_phoncat0,4,4,5,6,5,6
onset_phoncat1,3,5,5,5,5,7
onset_phoncat2,3,4,6,6,5,
onset_phoncat3,3,3,5,6,,
onset_phoncat4,4,5,6,,,
onset_phoncat5,3,3,,,,
onset_phoncat6,2,,,,,
koda_phoncat0,3,6,6,7,8,8
koda_phoncat1,3,4,5,6,7,9
koda_phoncat2,3,5,4,7,7,
koda_phoncat3,3,4,4,8,,
koda_phoncat4,3,3,7,,,
koda_phoncat5,2,5,,,,
koda_phoncat6,3,,,,,
nucleus_phoncat0,3,3,4,4,4,4
nucleus_phoncat1,3,4,4,4,4,5
nucleus_phoncat2,3,3,4,4,4,
nucleus_phoncat3,3,4,4,5,,
nucleus_phoncat4,3,3,5,,,
nucleus_phoncat5,3,3,,,,
nucleus_phoncat6,4,,,,,
syl_len0,1,1,1,1,1,1
syl_len1,1,1,1,1,1,1
syl_len2,1,1,1,1,1,
syl_len3,1,1,1,1,,
syl_len4,1,1,1,,,
syl_len5,1,1,,,,
syl_len6,1,,,,,
koda_len0,1,1,1,1,1,1
koda_len1,1,1,1,1,1,1
koda_len2,1,1,1,1,1,
koda_len3,1,1,1,1,,
koda_len4,1,1,1,,,
koda_len5,1,1,,,,
koda_len6,1,,,,,
onset_len0,1,1,1,1,1,1
onset_len1,1,1,1,1,1,1
onset_len2,1,1,1,1,1,
onset_len3,1,1,1,1,,
onset_len4,1,1,1,,,
onset_len5,1,1,,,,
onset_len6,1,,,,,
nucleus_len0,1,1,1,1,1,1
nucleus_len1,1,1,1,1,1,1
nucleus_len2,1,1,1,1,1,
nucleus_len3,1,1,1,1,,
nucleus_len4,1,1,1,,,
nucleus_len5,1,1,,,,
nucleus_len6,1,,,,,
syl_cv0,4,8,13,17,19,19
syl_cv1,3,9,11,15,19,17
syl_cv2,3,8,12,17,18,
syl_cv3,3,8,10,15,,
syl_cv4,3,6,10,,,
syl_cv5,3,8,,,,
syl_cv6,7,,,,,
cv_ratio0,1,1,1,1,1,1
cv_ratio1,1,1,1,1,1,1
cv_ratio2,1,1,1,1,1,
cv_ratio3,1,1,1,1,,
cv_ratio4,1,1,1,,,
cv_ratio5,1,1,,,,
cv_ratio6,1,,,,,
pos,4,4,5,5,5,5
comp_struct,2,8,14,17,18,13
nomen,2,2,2,2,2,2
comp_len,1,1,1,1,1,1
stress_class,5,5,5,4,3,2
Summe,334,484,752,1279,1710,1061
